,env,algo,lr,beta,epsilon,avg_return,total_time,asymptotic_return
46,Breakout,tdprop,0.00029532798176033027,0.2898943465468121,1.1013021462064584e-05,34.28942929434917,7147.611346960068,41.71
47,Qbert,tdprop,0.00029532798176033027,0.2898943465468121,1.1013021462064584e-05,369.51675409065996,9788.5500831604,336.25
48,BeamRider,sgd,0.0011185010107418476,0.26146020014429006,4.5339935496049307e-07,245.80880629499413,5879.02271771431,291.36
49,SpaceInvaders,sgd,0.0011185010107418476,0.26146020014429006,4.5339935496049307e-07,269.98437181490795,4711.229252576828,261.7
50,Breakout,sgd,0.0011185010107418476,0.26146020014429006,4.5339935496049307e-07,2.320682955742887,6824.778941631317,2.02
51,Qbert,sgd,0.0011185010107418476,0.26146020014429006,4.5339935496049307e-07,312.70484053951844,5966.61550951004,339.5
52,BeamRider,adam,0.007698552674514978,0.26146020014429006,4.5339935496049307e-07,455.13372634191745,5563.86257481575,472.28
53,SpaceInvaders,adam,0.007698552674514978,0.26146020014429006,4.5339935496049307e-07,190.32891609222725,5703.198999643326,188.7
54,Breakout,adam,0.007698552674514978,0.26146020014429006,4.5339935496049307e-07,1.3528742643301077,6504.91302895546,1.75
55,Qbert,adam,0.007698552674514978,0.26146020014429006,4.5339935496049307e-07,172.14850600575758,5814.54200553894,195.25
56,BeamRider,tdprop,0.007698552674514978,0.26146020014429006,4.5339935496049307e-07,516.0948,7919.66205739975,105.64
57,SpaceInvaders,tdprop,0.007698552674514978,0.26146020014429006,4.5339935496049307e-07,259.80339700118213,7375.47408413887,228.55
58,Breakout,tdprop,0.007698552674514978,0.26146020014429006,4.5339935496049307e-07,1.400182852184154,8383.65404701233,0.78
59,Qbert,tdprop,0.007698552674514978,0.26146020014429006,4.5339935496049307e-07,145.7282304049483,7617.601384401321,158.0
60,BeamRider,sgd,0.020771273296967884,0.9786489928009657,7.102862491523287e-06,442.190458087816,6434.020263433456,627.6
